id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
38366,2023-08-10 08:26:59.951523,5.2,4.1,1.5,0.1,0
38365,2023-08-10 08:26:58.945941,5.0,3.5,1.3,0.3,0
38364,2023-08-10 08:26:57.940183,6.0,3.0,4.8,1.8,2
38363,2023-08-10 08:26:56.932822,4.9,2.4,3.3,1.0,1
38362,2023-08-10 08:26:55.924670,6.0,2.7,5.1,1.6,1
38361,2023-08-10 08:26:54.917348,5.0,3.0,1.6,0.2,0
38360,2023-08-10 08:26:53.910998,5.9,3.0,5.1,1.8,2
38359,2023-08-10 08:26:52.900752,6.7,3.1,4.7,1.5,1
38358,2023-08-10 08:26:51.893472,6.5,3.0,5.5,1.8,2
38357,2023-08-10 08:26:50.885372,6.4,3.1,5.5,1.8,2
38356,2023-08-10 08:26:49.878326,5.5,4.2,1.4,0.2,0
38355,2023-08-10 08:26:48.871584,5.1,3.8,1.6,0.2,0
38354,2023-08-10 08:26:47.864810,5.0,2.0,3.5,1.0,1
38353,2023-08-10 08:26:46.857788,4.5,2.3,1.3,0.3,0
38352,2023-08-10 08:26:45.849459,4.4,3.0,1.3,0.2,0
38351,2023-08-10 08:26:44.836811,6.1,3.0,4.6,1.4,1
38350,2023-08-10 08:26:43.828909,5.4,3.9,1.3,0.4,0
38349,2023-08-10 08:26:42.821220,5.9,3.0,4.2,1.5,1
38348,2023-08-10 08:26:41.813604,6.6,2.9,4.6,1.3,1
38347,2023-08-10 08:26:40.805330,6.3,2.5,5.0,1.9,2
38346,2023-08-10 08:26:39.797135,6.5,3.0,5.8,2.2,2
38345,2023-08-10 08:26:38.789406,6.9,3.2,5.7,2.3,2
38344,2023-08-10 08:26:37.780951,6.0,3.0,4.8,1.8,2
38343,2023-08-10 08:26:36.773404,4.8,3.0,1.4,0.3,0
38342,2023-08-10 08:26:35.765296,5.0,3.0,1.6,0.2,0
38341,2023-08-10 08:26:34.757265,4.3,3.0,1.1,0.1,0
38340,2023-08-10 08:26:33.748597,5.0,3.5,1.6,0.6,0
38339,2023-08-10 08:26:32.740791,6.5,3.0,5.2,2.0,2
38338,2023-08-10 08:26:31.733071,5.1,3.8,1.9,0.4,0
38337,2023-08-10 08:26:30.725525,5.1,3.7,1.5,0.4,0
38336,2023-08-10 08:26:29.718583,5.8,2.6,4.0,1.2,1
38335,2023-08-10 08:26:28.712652,4.6,3.6,1.0,0.2,0
38334,2023-08-10 08:26:27.704575,6.4,3.1,5.5,1.8,2
38333,2023-08-10 08:26:26.697873,6.4,3.2,4.5,1.5,1
38332,2023-08-10 08:26:25.691369,6.4,3.1,5.5,1.8,2
38331,2023-08-10 08:26:24.683169,6.1,3.0,4.6,1.4,1
38330,2023-08-10 08:26:23.676337,7.2,3.0,5.8,1.6,2
38329,2023-08-10 08:26:22.668740,6.2,2.9,4.3,1.3,1
38328,2023-08-10 08:26:21.661561,5.8,2.7,5.1,1.9,2
38327,2023-08-10 08:26:20.653357,4.9,2.4,3.3,1.0,1
38326,2023-08-10 08:26:19.646244,5.7,3.0,4.2,1.2,1
38325,2023-08-10 08:26:18.639007,6.4,2.9,4.3,1.3,1
38324,2023-08-10 08:26:17.633434,6.8,3.0,5.5,2.1,2
38323,2023-08-10 08:26:16.627452,5.2,3.5,1.5,0.2,0
38322,2023-08-10 08:26:15.621937,6.3,3.4,5.6,2.4,2
38321,2023-08-10 08:26:14.616842,6.9,3.2,5.7,2.3,2
